time,CH1UP_outlet_T,CH1_inlet_T,CH1_outlet_T,CH1_outlet_flow,CH1_velocity,CH2_outlet_T,CH2_outlet_flow,CH2_velocity,CH3_outlet_T,CH3_outlet_flow,CH3_velocity,CH4_outlet_T,CH4_outlet_flow,CH4_velocity,CH5_outlet_T,CH5_outlet_flow,CH5_velocity,Core_Radial_Expansion_Reactivity,DHX_flow,DHX_heatremoval,External_Reactivity,IHX_heatremoval,IHX_inlet_T,IHX_primaryflow,IHX_secondaryflow,NaHX_heatremoval,Total_Reactivity,Total_Reactivity_Feedback,feedback-Axial,feedback-coolant,feedback-doppler,feedback-ext,feedback-total,max_Tci_Ref,max_Tci_core,max_Tco_Ref,max_Tco_core,max_Tcoolant_Ref,max_Tcoolant_core,max_Tf_Ref,max_Tf_core,pump_flow,reactor:decay_heat
-500,628.15,628.15,628.15,4.2615129066553,1,628.15,98.001727648025,1,628.15,25.566307807074,1,628.15,127.82721148403,1,628.15,133.24974496401,1,0,20.772246432506,0,0,0,628.15,662.98086530414,-894.93761713378,0,0,0,0,0,0,0,0,628.15,628.15,628.15,628.15,628.15,628.15,628.15,628.15,114.24735537878,16820017.447682
-490,820.07296710963,636.76847114799,820.30686409497,24.110671593051,5.6705349614227,800.21722034531,503.80464047181,5.1523698575738,786.08720507421,129.54284317551,5.0783850395561,784.34696506941,573.26484979233,4.4947956521122,628.12770239737,33.208832753601,0.24866292597334,0,5.4351367886526,0.00011390677443821,0,1.1282277446928,792.34397276293,1272.8148894218,-1259.3295407398,-0.68769559021315,0,0,0,0,0,0,0,655.32718866496,840.07893061287,655.15979838646,825.49276242632,655.15238507745,820.30686409497,656.36230634851,903.83323823946,1267.3417829349,16820017.447682
-39,820.17534172282,636.76866218803,820.17538922176,24.133481798566,5.6760049161319,800.39537796421,504.27119017553,5.1572562551541,786.26529275158,129.66264418388,5.083190118084,784.61033853123,573.78302389371,4.4989796447526,804.34025968177,33.215797224114,0.24983033315366,0,0.5383383148219,6.2512497824687e-07,0,0.99798203249853,792.37120747457,1260.3499437417,-1259.8694856836,-0.99788350298684,0,0,0,0,0,0,0,806.83672090789,839.97310889202,806.42276864235,825.36763654036,806.32694247463,820.17538922176,808.30073409466,903.75098513787,1260.3719306472,16820017.447682
