run,case,required_facts,recovered_facts,ViR,vision_input_tokens,vision_output_tokens,vision_reasoning_tokens,structuring_input_tokens,structuring_output_tokens,latency_seconds,failed_items
1,ABTR,15,5,0.3333333333333333,7853,881,291,802,591,22.099869199999375,0
1,MSRE,22,17,0.7727272727272727,8509,1352,516,1048,1565,35.020602300000974,0
1,Pooled,37,22,0.5945945945945946,16362,2233,807,1850,2156,57.12047150000035,0
2,ABTR,15,7,0.4666666666666667,7853,1027,356,883,911,28.214135899999746,0
2,MSRE,22,20,0.9090909090909091,8509,1293,503,1002,1621,35.75566179999987,0
2,Pooled,37,27,0.7297297297297297,16362,2320,859,1885,2532,63.96979769999962,0
3,ABTR,15,12,0.8,7853,930,326,816,951,27.114530099999683,0
3,MSRE,22,17,0.7727272727272727,8509,1333,516,1029,1053,31.97933710000143,0
3,Pooled,37,29,0.7837837837837838,16362,2263,842,1845,2004,59.093867200001114,0
