time,Branch1:pressure,Branch1:rho,Branch1:temperature,Branch1:velocity,Branch2:pressure,Branch2:rho,Branch2:temperature,Branch2:velocity,reactor:power
0,100000,865.51026802107,628.15,2,100000,865.51026802107,628.15,2,250000000
0.01,600436.35935357,865.51026802121,628.14999999936,3.2499999999923,321355.78005426,865.49011602502,628.2384720654,3.2513276626935,250000000
0.02,107949.19023823,865.51026802106,628.15000000004,3.2500000000008,78088.075098279,865.44861578479,628.42066561919,3.2531929381116,250000000
0.03,245478.26303733,865.51026802105,628.15000000007,3.2500000000011,159303.28612186,865.38120043586,628.71662432053,3.2553093783672,250000000
0.04,256070.53943251,865.51026802019,628.15000000384,3.2500000000305,159327.05492638,865.28540873544,629.13714283355,3.2573372917403,250000000
0.05,257469.29286331,865.51026802105,628.15000000005,3.25,159336.3623777,865.16341985193,629.67264022702,3.2591235383891,250000000
0.06,257100.70630879,865.51026802129,628.14999999901,3.2500000000185,159347.38500498,865.01993120088,630.30248005238,3.260661886739,250000000
0.07,256953.90550815,865.51026802103,628.15000000016,3.2500000000001,159363.22258476,864.8593888599,631.00713102688,3.2620044707483,250000000
0.08,256966.71201404,865.51026802104,628.15000000012,3.2499999999999,159382.56089241,864.68524827556,631.77141285593,3.2632082396998,250000000
0.09,257007.37379713,865.51026802101,628.15000000023,3.25,159403.74057409,864.50010691515,632.58391364326,3.2643170436739,250000000
0.1,257047.04220022,865.51026802103,628.15000000016,3.25,159425.75995729,864.30591595645,633.43606021599,3.2653609818225,250000000
0.11,257085.56499881,865.51026802103,628.15000000015,3.2499999999999,159448.14811619,864.10414588392,634.32139080893,3.2663602951457,250000000
0.129,257152.81304728,865.51026802103,628.15000000013,3.2500000000001,159488.32103381,863.70404610219,636.07673164064,3.2681876612433,250000000
0.1651,257293.14589579,865.51026802085,628.15000000094,3.2499999999996,159574.0158011,862.89790797404,639.61256066444,3.2715424150486,250000000
0.2,257417.60292361,865.51026802136,628.1499999987,3.2500000000011,159645.37116477,862.07424225405,643.22401745982,3.2747333092538,250000000
0.3,257747.18547547,865.51026802139,628.14999999858,3.2499999999983,159839.61241336,859.56708721984,654.20916025446,3.2839297521072,250000000
0.4,258029.33472063,865.51026802055,628.15000000228,3.2499999999959,159992.99669771,856.9425570518,665.69609092504,3.2931837020925,250000000
0.5,258267.09235988,865.51026802085,628.15000000096,3.2499999999936,160113.71615457,854.29831390005,677.25641961252,3.3023524363018,250000000
0.6,258460.03976536,865.5102680211,628.14999999984,3.2500000000065,160199.64657472,851.7151335914,688.53734514828,3.3112635325943,250000000
0.7,258613.73041443,865.51026802126,628.14999999915,3.2499999999965,160256.54153723,849.25352906913,699.2759344509,3.3197649000596,250000000
0.8,258735.58485164,865.51026802133,628.14999999882,3.249999999991,160291.65152573,846.95469592085,709.2944234415,3.3277403786889,250000000
0.9,258833.17462946,865.51026802075,628.1500000014,3.2500000000007,160312.19846311,844.84323434061,718.48783044784,3.3351119345099,250000000
1,258912.8176455,865.51026802074,628.15000000144,3.2500000000235,160323.99082174,842.93044198769,726.80921223208,3.3418365676958,250000000
1.1,258978.97302407,865.51026802068,628.15000000168,3.2500000000194,160330.85355601,841.21757966323,734.25517983075,3.3479008692414,250000000
1.29,259077.96818152,865.51026802074,628.15000000143,3.2499999999906,160337.5215986,838.47662955093,746.15927742067,3.3576929681963,250000000
1.651,259192.80880434,865.51026802116,628.14999999956,3.2499999999999,160333.70600646,834.8117572043,762.0548212782,3.3709771705666,250000000
2,259243.40199674,865.51026802125,628.14999999917,3.2500000000101,160320.3461082,832.72159835725,771.10958256964,3.378674343904,250000000
3,259280.74641949,865.51026802102,628.15000000021,3.2499999999959,160291.02971728,830.38612318081,781.21780770137,3.3874193676151,250000000
4,259272.63599429,865.51026802109,628.14999999988,3.2500000000004,160281.38373817,830.23554159829,781.86920831498,3.3880462173121,250000000
